UniProt	Concentration in g/L
RBL_ARATH	0.8290919588324
RBS2B_ARATH	0.4874932109179
RCA_ARATH	0.3378849583309
ATPB_ARATH	0.2807589721597
PSBB_ARATH	0.2500440243361
PSBA_ARATH	0.2085772961065
PSBC_ARATH	0.1970391251311
BCA2_ARATH	0.1913325231604
GL31_ARATH	0.1769549509973
PSBD_ARATH	0.1739752556365
RBS1A_ARATH	0.1689424791654
CB5_ARATH	0.1591715094813
LHCA3_ARATH	0.1561661882313
ATPA_ARATH	0.1459052835436
PSBO1_ARATH	0.1414784312527
PSAC_ARATH	0.1370243344493
PGKH1_ARATH	0.1315427856474
PSBP1_ARATH	0.1191007193832
GLO1_ARATH	0.1188368382958
TIP11_ARATH	0.1179505484833
KPPR_ARATH	0.1167831497252
TKTC1_ARATH	0.1162662305062
TIP12_ARATH	0.1148485089981
PSBE_ARATH	0.1146258257846
ALFP2_ARATH	0.1104108634336
PSAD1_ARATH	0.1103573047430
CYF_ARATH	0.1061777980121
PLAS2_ARATH	0.1005339047053
G3PB_ARATH	0.1002868278039
BGL38_ARATH	0.0986357215370
PSBF_ARATH	0.0980562930230
PSAB_ARATH	0.0977441406947
GCST_ARATH	0.0969076274340
RBS1B_ARATH	0.0968169886623
G3PC1_ARATH	0.0966828648060
G3PA1_ARATH	0.0925870372921
BGL37_ARATH	0.0888154227890
GGT1_ARATH	0.0888000335824
METE1_ARATH	0.0880004085844
PSAA_ARATH	0.0846382748694
ESM1_ARATH	0.0841644054513
GLNA2_ARATH	0.0813312745213
GLYM1_ARATH	0.0801143245857
GSTF9_ARATH	0.0791840699720
CP41B_ARATH	0.0760769929182
PSAF_ARATH	0.0759558046731
BCA1_ARATH	0.0757927693866
RS81_ARATH	0.0730057563618
CATA2_ARATH	0.0709208694106
CP20C_ARATH	0.0708545363401
Q9LMQ2_ARATH	0.0699663010656
FNRL1_ARATH	0.0675080816100
PSBQ1_ARATH	0.0663230439573
S17P_ARATH	0.0661485816240
PSBH_ARATH	0.0658124359543
GCSP1_ARATH	0.0645317979743
APX1_ARATH	0.0635860469835
CB4B_ARATH	0.0634715565090
LOX2_ARATH	0.0621955008897
EFTU_ARATH	0.0620082520600
BAS1A_ARATH	0.0616760436032
RS172_ARATH	0.0606543124192
ATPG1_ARATH	0.0586166379431
ATPF_ARATH	0.0570394559874
A0A178URY2_ARATH	0.0565650223866
MDHM1_ARATH	0.0564886186560
SAHH1_ARATH	0.0557901419520
SGAT_ARATH	0.0557360291206
CPNA1_ARATH	0.0556106123064
GL33_ARATH	0.0528667347141
A0A178UB22_ARATH	0.0527532589465
MDHC1_ARATH	0.0518955279921
PSAL_ARATH	0.0517321166754
TRXM4_ARATH	0.0506499281393
Q9M1P5_ARATH	0.0494753605936
CP19A_ARATH	0.0493417957500
ENO2_ARATH	0.0485917106289
ACT7_ARATH	0.0483615412207
F16P1_ARATH	0.0474007610322
ATPD_ARATH	0.0473941903469
HS701_ARATH	0.0470505054722
GCSH3_ARATH	0.0467805953503
CP18D_ARATH	0.0466979824956
ICDHC_ARATH	0.0462518227463
CB3_ARATH	0.0461765446697
CATA3_ARATH	0.0461125747371
PSBS_ARATH	0.0460279510579
RL83_ARATH	0.0457448782091
CH20_ARATH	0.0456894229664
ADT1_ARATH	0.0449652416559
TPIC_ARATH	0.0448578421423
ADK1_ARATH	0.0443369713139
CP31A_ARATH	0.0442632757171
CLPC1_ARATH	0.0438221486234
CPNB1_ARATH	0.0433703841605
TCTP1_ARATH	0.0432113475489
FNRL2_ARATH	0.0431709314994
IF4A1_ARATH	0.0431649471523
NRL1_ARATH	0.0428504460524
RL142_ARATH	0.0428370823871
CYB6_ARATH	0.0427229190328
HPR1_ARATH	0.0425957715458
PSAH1_ARATH	0.0424484013717
UCRIA_ARATH	0.0421449631733
PSAE1_ARATH	0.0421011669516
ATPE_ARATH	0.0420006082825
METK3_ARATH	0.0412390249487
TPIS_ARATH	0.0401516763507
EF2_ARATH	0.0398770924368
R23A2_ARATH	0.0395879187339
PETD_ARATH	0.0390090867136
CAS_ARATH	0.0386444229105
PSAN_ARATH	0.0383814767774
RR11_ARATH	0.0379200330638
PSBQ2_ARATH	0.0377456455953
CP41A_ARATH	0.0374849173761
VATB1_ARATH	0.0373642929486
RS242_ARATH	0.0367822624648
RL51_ARATH	0.0361904794894
RL183_ARATH	0.0360790217605
PTA16_ARATH	0.0359704004856
ACT2_ARATH	0.0359654142749
GLTB1_ARATH	0.0359566900692
G3PA2_ARATH	0.0358422255695
EF1D1_ARATH	0.0351350322349
TRXH3_ARATH	0.0347306695116
GSTUK_ARATH	0.0345398118053
PRX2E_ARATH	0.0341304685971
MDHX2_ARATH	0.0337517012342
VDAC1_ARATH	0.0336792549176
RLA21_ARATH	0.0334790878617
CAB6_ARATH	0.0334245983046
THI4_ARATH	0.0334245983046
GSTF2_ARATH	0.0333066492583
RS62_ARATH	0.0325579580905
METK4_ARATH	0.0321732175328
HSP7F_ARATH	0.0320908103829
EF1B2_ARATH	0.0319753515811
RS111_ARATH	0.0319277352771
RL261_ARATH	0.0316248847488
RSSA1_ARATH	0.0312760912505
PIP12_ARATH	0.0308455040599
RS132_ARATH	0.0307974354862
Q42139_ARATH	0.0303966055113
FTSH2_ARATH	0.0300342829782
CHLP_ARATH	0.0297390842239
FLA8_ARATH	0.0295203580979
RL281_ARATH	0.0293398241097
RR4_ARATH	0.0292038833447
R18A2_ARATH	0.0286524840931
VATA_ARATH	0.0284881161358
RR3_ARATH	0.0284437212344
IF5A2_ARATH	0.0284053016189
RL4B_ARATH	0.0284033327816
RK3A_ARATH	0.0283404019918
RS91_ARATH	0.0282286516989
HS902_ARATH	0.0281719655213
DLDH1_ARATH	0.0279076418110
R27A2_ARATH	0.0278844385385
RK1_ARATH	0.0273039603057
RK9_ARATH	0.0272708604745
EFGC_ARATH	0.0272547978948
RPI3_ARATH	0.0269953369100
RL31_ARATH	0.0269654147188
RK123_ARATH	0.0268786414793
TRXM2_ARATH	0.0267541041586
PRF2_ARATH	0.0267105599829
CB4A_ARATH	0.0266578461716
RK14_ARATH	0.0265720626710
RS51_ARATH	0.0265518102075
RS3B_ARATH	0.0265251373608
PRX2B_ARATH	0.0264452794794
GSA2_ARATH	0.0264379483074
SODF1_ARATH	0.0263218378020
RLA32_ARATH	0.0261092356304
CYSKP_ARATH	0.0257694227825
NDK1_ARATH	0.0254366771803
PSAK_ARATH	0.0252942633205
PORB_ARATH	0.0250708380469
GDL15_ARATH	0.0249443006557
FTSH1_ARATH	0.0247393950416
ALFP1_ARATH	0.0246914270876
RK5_ARATH	0.0246691878779
ENL02_ARATH	0.0245353222858
RL272_ARATH	0.0245174718635
RK6_ARATH	0.0242579934883
BIP2_ARATH	0.0241883141616
RPS1_ARATH	0.0241179991031
U603_ARATH	0.0240779108814
NLTP1_ARATH	0.0240537232113
TL19_ARATH	0.0239705036509
RPE_ARATH	0.0239397854395
HEM3_ARATH	0.0238230845589
ALFC8_ARATH	0.0236839583563
CP29B_ARATH	0.0236077446651
ADHX_ARATH	0.0231315224348
PGKY3_ARATH	0.0230954750650
CA4_ARATH	0.0230562873685
VATE1_ARATH	0.0230044062756
GLO2_ARATH	0.0228217626340
F16P2_ARATH	0.0227893570399
RS23_ARATH	0.0225231751497
CYSK1_ARATH	0.0224242575930
PCAP1_ARATH	0.0222763091902
Q42044_ARATH	0.0222000083956
EF1G2_ARATH	0.0220772460937
VDAC3_ARATH	0.0219209484755
RK15_ARATH	0.0219179097974
CP74A_ARATH	0.0216912053257
CCH_ARATH	0.0216131630281
GRXC2_ARATH	0.0214304214483
ILV5_ARATH	0.0214289360561
ACR11_ARATH	0.0214192835165
TRXF1_ARATH	0.0212212585908
CP18C_ARATH	0.0211735066665
AED3_ARATH	0.0210695605229
RL122_ARATH	0.0210469360037
PSBO2_ARATH	0.0210462065851
MTHR1_ARATH	0.0210345393253
RBG7_ARATH	0.0210308946331
BAS1B_ARATH	0.0210228785333
TL29_ARATH	0.0209792081071
Q9SD66_ARATH	0.0209080747481
IPYR6_ARATH	0.0207888538754
RL7A2_ARATH	0.0207766092077
PSRP2_ARATH	0.0206896640881
DGR2_ARATH	0.0202491341821
TRXM1_ARATH	0.0201930694192
H2AV3_ARATH	0.0201336706840
TPT_ARATH	0.0200967222963
XTH4_ARATH	0.0198688754742
STR16_ARATH	0.0198654327587
CHLM_ARATH	0.0198496039493
PRXQ_ARATH	0.0195980514727
Q9ZPZ4_ARATH	0.0195302473655
PETS_ARATH	0.0195153619715
Q9SKI0_ARATH	0.0193584067827
Y2766_ARATH	0.0193382899048
RR17_ARATH	0.0193141772442
CBBY_ARATH	0.0192947750232
RL321_ARATH	0.0192740562708
Q9C9I7_ARATH	0.0192300194540
PRF1_ARATH	0.0192100359937
RK11_ARATH	0.0192053761752
RLA02_ARATH	0.0191555204270
Q8GWP4_ARATH	0.0189981669004
OP161_ARATH	0.0187522046829
AAT5_ARATH	0.0186769674014
CUT1A_ARATH	0.0185852774057
RL103_ARATH	0.0184869883839
RL131_ARATH	0.0184351636347
SODM1_ARATH	0.0184153679340
RS143_ARATH	0.0183930434959
MDHP_ARATH	0.0183752034326
STR4_ARATH	0.0183198821427
CHLI2_ARATH	0.0182046906086
Q93VK7_ARATH	0.0180301352904
AMPL1_ARATH	0.0180039095536
APS1_ARATH	0.0179864469251
NIR_ARATH	0.0177431261823
PMA1_ARATH	0.0176719375087
MDAR1_ARATH	0.0175772603183
MPCP3_ARATH	0.0175577773185
LECT6_ARATH	0.0175103779311
VDAC2_ARATH	0.0173773756612
DTC_ARATH	0.0173352689813
AOR_ARATH	0.0171369483114
GAPN_ARATH	0.0170729246982
RS73_ARATH	0.0170616860518
GLYC4_ARATH	0.0170368689730
RS262_ARATH	0.0169420707836
CYSC1_ARATH	0.0169391352009
MET1_ARATH	0.0167807851859
GSTUJ_ARATH	0.0167059291209
RL343_ARATH	0.0166822076597
CAPP2_ARATH	0.0166020365068
Q9FXA1_ARATH	0.0165405845663
RL302_ARATH	0.0163275714571
RIDA_ARATH	0.0162553004531
GSTF8_ARATH	0.0162536104436
PLAS1_ARATH	0.0161402197617
RK4_ARATH	0.0160487420866
PDX13_ARATH	0.0160476297111
Q39141_ARATH	0.0160170695810
RK36_ARATH	0.0160009794975
RS113_ARATH	0.0159616547300
XTH7_ARATH	0.0157697547342
AVP1_ARATH	0.0156901617178
PST2_ARATH	0.0156039385519
GSTFA_ARATH	0.0155801618681
Q9SFB1_ARATH	0.0155472586576
