Gene Name	Concentration in g/L
HSP90AB1	0.000063000000000
NEB	0.000000120000000
LTBP1	0.000096000000000
LTBP2	0.000014000000000
LTBP3	0.000002200000000
LTBP4	0.000009700000000
HARS1	0.000000190000000
LFNG	0.000000880000000
HDAC2	0.000000025000000
NES	0.000000100000000
PODN	0.000000910000000
UBE2V1	0.000001100000000
TBC1D13	0.000000009300000
UBE2V2	0.000000800000000
OGFR	0.000000020000000
RCC1	0.000000047000000
RCC2	0.000000110000000
RAP2B	0.000000160000000
GSTM2	0.000001200000000
MAP2K1	0.000000120000000
GSTM3	0.000000790000000
MAP2K2	0.000000140000000
MAP2K3	0.000000028000000
LORICRIN	0.000001800000000
LIMS1	0.000010000000000
MAN1B1	0.000000940000000
LRRC47	0.000000029000000
CTBS	0.000370000000000
PADI4	0.000000029000000
KRT33A	0.000160000000000
TBC1D10B	0.000000250000000
KRT33B	0.000350000000000
CD244	0.000000280000000
LRRC4B	0.000002700000000
CD248	0.000043000000000
S100B	0.000000300000000
LALBA	0.000000091000000
DGCR2	0.000000084000000
S100P	0.000001600000000
SLC25A3	0.000000083000000
ECE1	0.000001300000000
SLC25A4	0.000000380000000
SLC25A5	0.000000640000000
SLC25A6	0.000000450000000
SSR1	0.000001600000000
SSR2	0.000000062000000
SSR4	0.000000110000000
PTGES3	0.000000660000000
PENK	0.000000220000000
APLP1	0.000006400000000
APLP2	0.000001500000000
KLK10	0.000002500000000
ARHGAP1	0.000011000000000
KLK11	0.000001800000000
IFITM2	0.000000450000000
ARHGAP6	0.000000350000000
TGFBR2	0.000000810000000
TGFBR3	0.000050000000000
MAN1C1	0.000001800000000
LRRC57	0.000000026000000
LRRC59	0.000000740000000
CSRP1	0.000011000000000
CSRP2	0.000000063000000
CSRP3	0.000000250000000
ARHGAP45	0.000001200000000
JCHAIN	0.002200000000000
SAFB2	0.000000048000000
UGP2	0.000013000000000
OLFM1	0.000200000000000
OLFM2	0.000002700000000
OLFM4	0.000000009300000
VWF	0.016800000000000
GNG2	0.000000170000000
NGF	0.000000040000000
MYADM	0.000000027000000
GNG5	0.000000037000000
IGF2BP1	0.000000013000000
GNG7	0.000000072000000
IGF2BP3	0.000000027000000
UNC45A	0.000000017000000
PRPS1	0.000000320000000
P3H1	0.000000018000000
ALDH1A1	0.000058000000000
P3H3	0.000000740000000
IL2	0.000000020000000
IL3	0.000000018000000
IL4	0.000000014000000
PPP1R11	0.000000043000000
IL5	0.000000004100000
IL6	0.000000005700000
IL7	0.000000061000000
GSTO1	0.000120000000000
DPT	0.000000610000000
IL9	0.000000011000000
PPP1R18	0.000000011000000
HUWE1	0.000000073000000
HMGA1	0.000000072000000
TPD52L2	0.000001100000000
DDX17	0.000000420000000
DDX18	0.000000017000000
SCT	0.000000570000000
DCXR	0.000004000000000
ILK	0.000030000000000
UROC1	0.000000670000000
COL9A1	0.000000120000000
COL9A2	0.000000510000000
KRAS	0.000003300000000
SNX1	0.000006100000000
SNX2	0.000000150000000
SNX3	0.000000270000000
SNX5	0.000000008200000
DMP1	0.000000064000000
C1QBP	0.000000410000000
ADH4	0.000020000000000
ADH5	0.000005300000000
ADH6	0.000003400000000
CPNE1	0.000000300000000
CPNE3	0.000000071000000
PHYKPL	0.000000160000000
PEPD	0.000860000000000
SUSD1	0.000002300000000
ALDH1B1	0.000000500000000
SUSD2	0.000006800000000
SUSD5	0.000017000000000
IL5RA	0.000000910000000
GSTP1	0.000069000000000
SRRM1	0.000000020000000
SRRM2	0.000000017000000
DDX21	0.000000040000000
IGKV2-24	0.000840000000000
DDX23	0.000000021000000
KRTAP11-1	0.000002700000000
HMGB1	0.000002800000000
HMGB2	0.000001200000000
LRRC70	0.000000017000000
SRSF10	0.000000049000000
FN3KRP	0.000000044000000
C19orf33	0.000000460000000
OCIAD1	0.000000021000000
EPS8	0.000000017000000
SMR3B	0.000001900000000
MSLN	0.000017000000000
CD276	0.000016000000000
CES1	0.000040000000000
CES2	0.000006400000000
CES3	0.000001200000000
ADI1	0.000000130000000
CTF1	0.000000012000000
ECH1	0.000000720000000
S100A1	0.000000290000000
S100A2	0.000000027000000
S100A3	0.000000240000000
S100A4	0.000009600000000
S100A6	0.000007000000000
S100A7	0.000014000000000
S100A8	0.000190500000000
S100A9	0.000605500000000
ARL6IP5	0.000001100000000
UBAC1	0.000000087000000
ANPEP	0.001200000000000
IGKV2-30	0.006800000000000
FAM120A	0.000000012000000
TAPBP	0.000000020000000
MSMB	0.000006000000000
SET	0.000000880000000
NID1	0.000150000000000
FXR1	0.000000015000000
FCAMR	0.000005300000000
NID2	0.000006300000000
