Gene Name	Concentration in g/L
ALB	40.000000000000000
TF	10.048999999999999
SERPINA1	1.120000000000000
A2M	0.885000000000000
APOA1	0.805000000000000
APOB	0.800000000000000
C3	0.750000000000000
HP	0.550000000000000
ORM1	0.505500000000000
AHSG	0.485000000000000
SERPINA3	0.397000000000000
VTN	0.321500000000000
HPX	0.310000000000000
CP	0.300000000000000
IGHG2	0.250000000000000
CFH	0.250000000000000
IGHG1	0.230000000000000
TTR	0.224500000000000
CRISPLD2	0.220000000000000
GSN	0.175000000000000
FGG	0.171500000000000
IGHG4	0.170000000000000
APOH	0.145500000000000
C4BPB	0.135550000000000
IGHA1	0.130000000000000
RBP4	0.128000000000000
A1BG	0.125500000000000
SERPINC1	0.120000000000000
C4B	0.120000000000000
IGHM	0.110000000000000
FGB	0.110000000000000
GC	0.106500000000000
APOA2	0.101000000000000
PRSS1	0.100000000000000
CLU	0.099500000000000
APOD	0.094500000000000
PLG	0.092500000000000
PGLYRP2	0.087000000000000
APOC3	0.077500000000000
F2	0.075500000000000
C5	0.074500000000000
HRG	0.074000000000000
FGA	0.070205000000000
KNG1	0.068500000000000
APOA4	0.067500000000000
IGHA2	0.067000000000000
C9	0.067000000000000
AZGP1	0.064500000000000
CFB	0.060440000000000
C4A	0.060170000000000
PON1	0.056500000000000
C1S	0.053500000000000
IGLL5	0.053000000000000
HPR	0.052000000000000
GPLD1	0.051550000000000
SERPIND1	0.050000000000000
SERPINA6	0.049000000000000
SAA4	0.049000000000000
IGHV3-48	0.049000000000000
IGLL1	0.048000000000000
C7	0.048000000000000
FN1	0.047000000000000
AMBP	0.047000000000000
APOC2	0.046000000000000
IGHV3-23	0.042000000000000
APOE	0.040500000000000
LPA	0.040400000000000
IGHV3-7	0.039000000000000
IGHV3-21	0.037000000000000
KRT1	0.035000000000000
C2	0.034000000000000
APCS	0.033500000000000
IGHV3-13	0.033000000000000
AGT	0.032502950000000
SERPINA7	0.032500000000000
ITIH2	0.032000000000000
AFM	0.031850000000000
LRG1	0.031500000000000
SERPINF2	0.030500006000000
ITIH1	0.029502250000000
C4BPA	0.029500000000000
ITIH4	0.029001550000000
LUM	0.029000000000000
SERPING1	0.028000000000000
C6	0.027100000000000
IGHV3-74	0.027000000000000
ATRN	0.027000000000000
SERPINF1	0.026650000000000
FETUB	0.025800000000000
CPN2	0.025000000000000
KRT9	0.024000000000000
FBLN1	0.021000000000000
ORM2	0.020710000000000
IGFALS	0.020500000000000
IGKV3-20	0.020000000000000
IGHV3-15	0.020000000000000
IGHV3-35	0.019000000000000
FCN3	0.018500000000000
KRT10	0.018000000000000
IGKV3-11	0.018000000000000
IGHV3-11	0.018000000000000
APOC1	0.017500000000000
KLKB1	0.017150000000000
VWF	0.016800000000000
CLEC3B	0.015750000000000
PZP	0.015000000000000
SERPINA4	0.014500000000000
IGHD	0.014000000000000
HBA2	0.014000000000000
HBA1	0.014000000000000
PROS1	0.013500000000000
LBP	0.013150000000000
IGKV1-12	0.013000000000000
F10	0.013000000000000
CPN1	0.013000000000000
CFHR1	0.013000000000000
HABP2	0.012200000000000
IGKV1D-12	0.012000000000000
IGKV1-6	0.012000000000000
CFI	0.012000000000000
RNLS	0.011000000000000
IGKV3D-20	0.011000000000000
F5	0.010350000000000
C1RL	0.010250000000000
APOF	0.010100000000000
IGKV1-16	0.010000000000000
HBB	0.010000000000000
KRT2	0.009700000000000
IGHV3-72	0.009600000000000
BCHE	0.009400000000000
SAA2	0.009200000000000
SHBG	0.009100000000000
ITIH3	0.009100000000000
IGKV1D-16	0.009000000000000
THBS1	0.008700000000000
ECM1	0.008700000000000
IGKV4-1	0.008500000000000
IGHV3-30	0.008500000000000
CPB2	0.008500000000000
IGKV1-5	0.008400000000000
IGKV1-17	0.008400000000000
IGKV1-27	0.008300000000000
F9	0.008200000000000
IGKV1-39	0.008000000000000
APOM	0.007800000000000
IGHV3-33	0.007500000000000
IGKV3-15	0.007200000000000
IGHV3-66	0.007200000000000
LGALS3BP	0.007100000000000
IGKV2-30	0.006800000000000
IGKV3D-11	0.006700000000000
IGKV1D-37	0.006700000000000
C8B	0.006700000000000
HBD	0.006600000000000
LCAT	0.006450000000000
CD14	0.006400000000000
C8A	0.006400000000000
CFP	0.006200000000000
IGKV1-8	0.006100000000000
CHL1	0.005800000000000
ACTB	0.005800000000000
SAA1	0.005650000000000
GPX3	0.005650000000000
IGHV4-59	0.005500000000000
APOL1	0.005400000000000
MASP1	0.005300000000000
PROC	0.005200000000000
IGHV4-39	0.005000000000000
PLTP	0.004955000000000
IGKV1D-33	0.004900000000000
ACTG1	0.004900000000000
IGKV3D-15	0.004800000000000
CFHR2	0.004800000000000
FCN2	0.004750000000000
SELL	0.004700000000000
IGLV3-21	0.004700000000000
IGHV1-18	0.004700000000000
F13B	0.004700000000000
ADIPOQ	0.004655000000000
HGFAC	0.004653800000000
CA1	0.004600000000000
KRT6A	0.004500000000000
IGKV1-9	0.004500000000000
IGHV4-61	0.004400000000000
F11	0.004400000000000
SERPINA10	0.004350000000000
PRG4	0.004300000000000
IGLV3-1	0.004300000000000
IGHV4-34	0.004300000000000
IGHV3-64	0.004300000000000
IGHV3-53	0.004300000000000
CD5L	0.004150000000000
CRP	0.004050000000000
IGLV1-44	0.004000000000000
IGHV3-43	0.004000000000000
IGHV1-2	0.004000000000000
IGHV4-4	0.003800000000000
IGKV3D-7	0.003700000000000
KRT5	0.003600000000000
F12	0.003500500000000
IGKV2D-28	0.003500000000000
IGFBP3	0.003400000000000
LYVE1	0.003300000000000
IGLV3-25	0.003200000000000
IGHV3-73	0.003200000000000
IGHV3-16	0.003200000000000
IGHV1-24	0.003100000000000
IGLV1-47	0.003000000000000
ANXA1	0.003000000000000
PI16	0.002900000000000
IGHV3-38	0.002900000000000
IGHV1-46	0.002900000000000
C8G	0.002800000000000
BTD	0.002800000000000
ACTA1	0.002800000000000
IGHV5-51	0.002700000000000
IGHV1-69	0.002700000000000
C1QA	0.002700000000000
QSOX1	0.002600000000000
IGHV1-3	0.002600000000000
CFD	0.002565000000000
PTGDS	0.002500000000000
IGHV4-28	0.002500000000000
IGHV3-64D	0.002500000000000
ACTC1	0.002400000000000
IGLV1-40	0.002300000000000
JCHAIN	0.002200000000000
IGLV2-14	0.002200000000000
IGHV3-20	0.002200000000000
SERPINA5	0.002100000000000
CNDP1	0.002100000000000
VASN	0.002000000000000
SELENOP	0.002000000000000
IGLV3-10	0.002000000000000
B2M	0.001950000000000
POTEF	0.001900000000000
MCAM	0.001900000000000
KRT79	0.001900000000000
IGLV6-57	0.001900000000000
IGKV2D-40	0.001900000000000
IGKV1D-8	0.001900000000000
EFEMP1	0.001900000000000
CST3	0.001900000000000
CFHR5	0.001900000000000
CFHR3	0.001840000000000
LCP1	0.001800000000000
KRT8	0.001700000000000
KRT16	0.001700000000000
IGLV1-51	0.001700000000000
TGFBI	0.001600000000000
KRT14	0.001600000000000
IGHV3-49	0.001600000000000
