Gene	Gene description	Concentration
CP	Ceruloplasmin	440 mg/L
IGHG2	Immunoglobulin heavy constant gamma 2 (G2m marker)	250 mg/L
GSN	Gelsolin	240 mg/L
IGHG1	Immunoglobulin heavy constant gamma 1 (G1m marker)	230 mg/L
RBP4	Retinol binding protein 4	210 mg/L
C3	Complement C3	200 mg/L
HPX	Hemopexin	190 mg/L
A2M	Alpha-2-macroglobulin	170 mg/L
IGHG4	Immunoglobulin heavy constant gamma 4 (G4m marker)	170 mg/L
FGA	Fibrinogen alpha chain	140 mg/L
SERPINA1	Serpin family A member 1	140 mg/L
IGHA1	Immunoglobulin heavy constant alpha 1	130 mg/L
SERPINC1	Serpin family C member 1	120 mg/L
C4B	Complement C4B (Chido blood group)	120 mg/L
CFB	Complement factor B	120 mg/L
C4A	Complement C4A (Rodgers blood group)	120 mg/L
APOA1	Apolipoprotein A1	110 mg/L
AHSG	Alpha 2-HS glycoprotein	110 mg/L
FGB	Fibrinogen beta chain	110 mg/L
IGHM	Immunoglobulin heavy constant mu	110 mg/L
CFH	Complement factor H	100 mg/L
APOB	Apolipoprotein B	100 mg/L
PRSS1	Serine protease 1	100 mg/L
HP	Haptoglobin	100 mg/L
TTR	Transthyretin	99 mg/L
TF	Transferrin	98 mg/L
SERPINA3	Serpin family A member 3	94 mg/L
APOA2	Apolipoprotein A2	92 mg/L
APOD	Apolipoprotein D	90 mg/L
PGLYRP2	Peptidoglycan recognition protein 2	87 mg/L
APOA4	Apolipoprotein A4	74 mg/L
AZGP1	Alpha-2-glycoprotein 1, zinc-binding	74 mg/L
GC	GC vitamin D binding protein	73 mg/L
FGG	Fibrinogen gamma chain	73 mg/L
IGHA2	Immunoglobulin heavy constant alpha 2 (A2m marker)	67 mg/L
AGT	Angiotensinogen	65 mg/L
C9	Complement C9	64 mg/L
SERPINF2	Serpin family F member 2	61 mg/L
ORM1	Orosomucoid 1	61 mg/L
ITIH1	Inter-alpha-trypsin inhibitor heavy chain 1	59 mg/L
ITIH4	Inter-alpha-trypsin inhibitor heavy chain 4	58 mg/L
HPR	Haptoglobin-related protein	55 mg/L
IGLL5	Immunoglobulin lambda like polypeptide 5	53 mg/L
A1BG	Alpha-1-B glycoprotein	51 mg/L
SERPIND1	Serpin family D member 1	50 mg/L
IGHV3-48	Immunoglobulin heavy variable 3-48	49 mg/L
APOC2	Apolipoprotein C2	49 mg/L
C7	Complement C7	48 mg/L
IGLL1	Immunoglobulin lambda like polypeptide 1	48 mg/L
AMBP	Alpha-1-microglobulin/bikunin precursor	47 mg/L
KNG1	Kininogen 1	47 mg/L
FN1	Fibronectin 1	47 mg/L
APOC3	Apolipoprotein C3	45 mg/L
PLG	Plasminogen	45 mg/L
SERPINF1	Serpin family F member 1	44 mg/L
LRG1	Leucine rich alpha-2-glycoprotein 1	42 mg/L
IGHV3-23	Immunoglobulin heavy variable 3-23	42 mg/L
APOH	Apolipoprotein H	41 mg/L
F2	Coagulation factor II, thrombin	41 mg/L
ORM2	Orosomucoid 2	41 mg/L
C5	Complement C5	39 mg/L
APCS	Amyloid P component, serum	39 mg/L
IGHV3-7	Immunoglobulin heavy variable 3-7	39 mg/L
SERPINA6	Serpin family A member 6	37 mg/L
IGHV3-21	Immunoglobulin heavy variable 3-21	37 mg/L
KRT1	Keratin 1	35 mg/L
C2	Complement C2	34 mg/L
VTN	Vitronectin	33 mg/L
SAA4	Serum amyloid A4, constitutive	33 mg/L
IGHV3-13	Immunoglobulin heavy variable 3-13	33 mg/L
ITIH2	Inter-alpha-trypsin inhibitor heavy chain 2	32 mg/L
CLU	Clusterin	29 mg/L
APOE	Apolipoprotein E	29 mg/L
LUM	Lumican	29 mg/L
HRG	Histidine rich glycoprotein	28 mg/L
C4BPA	Complement component 4 binding protein alpha	28 mg/L
SERPING1	Serpin family G member 1	28 mg/L
ATRN	Attractin	27 mg/L
IGHV3-74	Immunoglobulin heavy variable 3-74	27 mg/L
IGFALS	Insulin like growth factor binding protein acid labile subunit	26 mg/L
SERPINA7	Serpin family A member 7	25 mg/L
CLEC3B	C-type lectin domain family 3 member B	25 mg/L
CPN2	Carboxypeptidase N subunit 2	25 mg/L
KRT9	Keratin 9	24 mg/L
FBLN1	Fibulin 1	21 mg/L
IGHV3-15	Immunoglobulin heavy variable 3-15	20 mg/L
IGKV3-20	Immunoglobulin kappa variable 3-20	20 mg/L
IGHV3-35	Immunoglobulin heavy variable 3-35 (non-functional)	19 mg/L
KRT10	Keratin 10	18 mg/L
IGHV3-11	Immunoglobulin heavy variable 3-11	18 mg/L
IGKV3-11	Immunoglobulin kappa variable 3-11	18 mg/L
PON1	Paraoxonase 1	17 mg/L
PZP	PZP alpha-2-macroglobulin like	15 mg/L
APOC1	Apolipoprotein C1	15 mg/L
C1RL	Complement C1r subcomponent like	15 mg/L
SERPINA4	Serpin family A member 4	14 mg/L
FCN3	Ficolin 3	14 mg/L
C1S	Complement C1s	14 mg/L
HBA2	Hemoglobin subunit alpha 2	14 mg/L
HBA1	Hemoglobin subunit alpha 1	14 mg/L
IGHD	Immunoglobulin heavy constant delta	14 mg/L
CPN1	Carboxypeptidase N subunit 1	13 mg/L
F10	Coagulation factor X	13 mg/L
F5	Coagulation factor V	13 mg/L
IGKV1-12	Immunoglobulin kappa variable 1-12	13 mg/L
CFHR1	Complement factor H related 1	13 mg/L
